	symbols	parent
Pollution Control	ADES,ARTR,ALAN,AWX,BEES,BEVFF,HCGS,CWST,CECE,CIWT,CXIA,EXSO,DCI,EAUI,ESPHQ,ERII,CLWT,FTEK,GLEC,GPRC,HEOFF,HCCI,IBAL,KNOS,LIQT,MPHD,MEEC,MPML,OCLN,PESI,IGSC,QSEP,SCPJ,SYEV,SMED,SPMI,TTEK,UNDT,VTNR	Industrial Products
Paper and Related Products	BPMI,CLW,DITHF,UFS,HAIPF,IP,ITP,KCDMY,KLBAY,MERC,MONDY,NP,PACK,TISUQ,RFP,SPPJY,SMFKY,SEOAY,SGMD,SUZ,VRTV,VRS,WRK	Basic Materials
Paints and Related Products	CCF,FAME,NPCPF,RPM,SLIF,SHW	Construction
Outsourcing	AHEXY,ATTO,ADP,AVCO,BBSI,BCO,BR,CGEMY,CCRC,CNDT,CTYX,EXLS,GTCH,HSON,PAYX,IPDN,RRD,SRT,SYKE,TNET	Business Services
Oil and Gas - Speciality - International	TPLMQ,VLOWY	Oils and Energy
Oil and Gas - Royalty Trust - United States	BPT,CHKR,CRT,DMLP,ECTM,HGTXU,KRP,MARPS,MTR,MVO,NRT,ROYTL,PBT,PVL,POGS,SBR,SJT,SDTTU	Oils and Energy
Oil and Gas - Refining and Marketing - Master Limited Partnerships	CLMT,CAPL,FGPR,GEL,GLP,GMLP,NGL,PSXP,SRLP,SPH,SUN,TRGP,WES	Oils and Energy
Oil and Gas - Refining and Marketing	ABLE,AE,PTTN,AMCF,CVI,DK,ENLC,GLPEY,GNPG,HFC,TELL,MPC,MNELF,MUSA,PARR,PBF,PSX,RGCO,SYNE,TENG,VLO,INT	Oils and Energy
Oil and Gas - Production and Pipelines	ALTM,CQP,CHNGQ,DCP,ENB,ENGT,FI,HEP,KMI,MPLX,PBA,PAGP,TIDE,TGS,UGP,WMB	Oils and Energy
Oil and Gas - Production Pipeline - MLB	ATLS,BPMP,ENGY,CEQP,DKL,ENBL,ET,EPD,MMP,NEXT,NS,OMP,PBFX,PAA,SHLX,SMLP,TCP	Oils and Energy
Oil and Gas - Mechanical and and Equipment	CTBG,DRQ,ENYNF,EXTN,FET,GIFI,IO,JUTOY,MTRX,NOV,NGS,DNOW,OIS,PED,PFIE,RCON,SDPI,SPNX,USAC,WFTIQ	Oils and Energy
Oil and Gas - Integrated - United States	AM,WHD,COP,EPSN,ETRN,HES,LNGLY,MRO,NES,OXY,PRT,PQEFF,PSTRQ,RTLR,SD,TGC,TDW,TAT	Oils and Energy
Oil and Gas - Integrated - International	BP,BAK,CNNEF,CVX,DGRLY,XOM,FUPBY,GZPFY,OGZPY,GEOR,INDO,LUKOY,NFE,OMVJF,PTR,PSJEY,PMOIY,REPYY,RDS.A,RDS.B,SSL,SGTZY,TOT,VIST,WOPEY,YPF	Oils and Energy
Oil and Gas - Integrated - Emerging Markets	SNP,CEO,EC,PBR,PBR.A	Oils and Energy
Oil and Gas - Integrated - Canadian	CVE,GBNXF,IMO,SU	Oils and Energy
Oil and Gas - Field Services	ALYE,AROC,BKR,BASX,BKEP,CDVIQ,CRRTQ,CSSV,CGGYY,CLB,CCLP,DWSN,DPDW,ESESQ,EMESQ,ENSV,FTK,FSNR,GLRI,HAL,HLX,HOSSQ,NEX,KLXE,LBRT,LIN,TUSK,NCSM,NR,NINE,NSFDF,OII,FLMN,POFCY,PGSVY,PUMP,RNGR,RFMK,RES,SAEXQ,SLB,CKH,SDRLF,WTTR,SND,SOI,SUBCY,FTI,TEGR,TTI,UNTCQ,USWS,VYEY,WEEEF,WGRP,WWNG	Oils and Energy
Oil and Gas - Exploration and Production - United States	AXAS,AERN,ALOD,AMRQQ,ALTX,AEGG,AMPY,AR,APA,AREXQ,AXPLF,GRVE,BRN,BATL,BRY,BLMC,BLGO,BDGR,ANFC,BDCO,BCEI,BNXR,COG,CRC,CPE,CRBO,CAVR,CDEV,CYPE,LNG,CHKAQ,XEC,CNX,COCBF,CIEIQ,CRK,CXO,MCF,CLR,CORC,XBOR,DLOV,DEN,DVN,FANG,ESTE,MR,EOG,EPEGQ,EQT,ERHE,ERINQ,EPM,XCOOQ,XOGAQ,FARYF,FPPP,FTSI,GPRK,GLRP,GDP,GPOR,GSPE,HPK,HPR,HKNI,HENC,HMLA,HUSA,HDYNQ,IXOG,IFNY,JONE,ROSEQ,LPI,LGCYQ,LLEXQ,LONEQ,CEI,MGY,MTDR,MXC,MCEP,MNVN,MUR,GBR,NBLX,NOG,OASPQ,OEDVQ,PHX,PE,PGYC,PDCE,PVAC,PTRO,PQUEQ,PGPM,PXD,PNRG,PROP,QEP,TRXO,RRC,EUBG,REOS,REI,RVDO,RCKE,RRRI,SNECQ,SNMP,SDRMU,PERS,SVSE,SBOW,SKPI,SM,SWN,TALO,STTX,SNDE,TNKY,TOPZ,TRCH,TCEC,UPLCQ,UVSE,USEG,VKIN,VNOM,VOC,WCYN,WACC,WLL,WHZT,GWPC,WPX,WTI,YUMAQ,ZAZA,ZNOG	Oils and Energy
Oil and Gas - Exploration and Production - International	BCHEY,CRNCY,ENQUF,GEGYY,HRCXF,IPXHY,KOS,KLYCY,LEKOF,NSTRY,PTHRF,SOCLF,TUWOY,EGY,VET	Oils and Energy
Oil and Gas - Exploration and Production - Canadian	AOIFF,AETUF,BTE,BIREF,BNEFF,BPIGF,CNQ,CPG,DWOG,DXIEF,ERF,FECOF,GTE,IPOOF,OBELF,OVV,PDGO,PRMRF,SOQDQ,SPRL,TGA,TCFF	Oils and Energy
Oil and Gas - Drilling	AAVVF,BORR,DOFSQ,HP,ICD,KEGX,VOPKY,NBR,NSLPQ,NE,NADLQ,PACD,PKDC,PTEN,PESXQ,PDS,ROYL,SAPMF,SDLPF,RIG,VTGDF	Oils and Energy
Office Supplies	ACCO,AVY,CIIG,CIX,EBF,ZCOM,XRX	Industrial Products
Office Automation and Equipment	CAJ,KNCAY,PBI,RICOY,SEKEY	Computer and Technology
Nanotechnology	NMGX,CBNT,MHTX,BTZI,XDSL,NNDM,ONTO,OXINF,QTMM	Computer and Technology
Mining - Silver	AXU,AHNR,ASM,BVN,EXK,AG,FSM,FNLPF,GPL,HL,HCHDF,MAG,PAAS	Basic Materials
